,Name,SSN,Age,Job,Pregnancies,Glucose,BloodPressure,SkinThickness,Insulin,BMI,DiabetesPedigreeFunction,Outcome
730,Silvia Orengo,CRTSSN68D27I372Z,34,Clinical cytogeneticist,3,130,78,23,79,28.4,0.323,1
731,Ludovica Benussi,BNSRTI67H04M352L,22,Camera operator,8,120,86,0,0,28.4,0.259,1
732,Dott. Paola Foà,PRNFMM05L09M381D,24,Water engineer,2,174,88,37,120,44.5,0.646,1
733,Dott. Mercedes Argento,GNSDNT61L54C652N,22,Theatre stage manager,2,106,56,27,165,29.0,0.426,0
734,Eleanora Almagià,LMBLBT71A43F736M,53,"Engineer, electronics",2,105,75,0,0,23.3,0.56,0
735,Sophia Bianchini,GRCSVN97H44H168M,28,"Designer, ceramics/pottery",4,95,60,32,0,35.4,0.284,0
736,Claudia Muti,VNVMRN52H08D681N,21,Personal assistant,0,126,86,27,120,27.4,0.515,0
737,Paulina Boccherini,FSLJCP28D46F712B,42,Financial risk analyst,8,65,72,23,0,32.0,0.6,0
738,Stella Guidone,MNTDRA13R09L625Z,21,Catering manager,2,99,60,17,160,36.6,0.453,0
739,Rosalia Ariasso,TMBCLR66P49C663Y,42,Nature conservation officer,1,102,74,0,0,39.5,0.293,1
740,Emma Barcaccia,LNCMRN40R18G383Q,48,Hydrogeologist,11,120,80,37,150,42.3,0.785,1
741,Lara Muti,BTTSTN02B08B131A,26,Records manager,3,102,44,20,94,30.8,0.4,0
742,Gemma Sandi,PLLGNN77T10A970W,22,Pension scheme manager,1,109,58,18,116,28.5,0.219,0
743,Marissa Cannizzaro,BTNNTL32C25B306Z,45,Animal technologist,9,140,94,0,0,32.7,0.734,1
744,Adelasia Trentin,BLTLBC05D54C101P,39,Advertising art director,13,153,88,37,140,40.6,1.174,0
745,Ida Catenazzi,DNSSIA62R03F033N,46,Dramatherapist,12,100,84,33,105,30.0,0.488,0
746,Sonia Bignardi,MNNFBZ95M08D365R,27,"Engineer, site",1,147,94,41,0,49.3,0.358,1
747,Berenice Traetta,SSMPRC79R22D756Y,32,"Teacher, music",1,81,74,41,57,46.3,1.096,0
748,Marcella Malacarne-Parisi,TMBGLN64L05G387T,36,Meteorologist,3,187,70,22,200,36.4,0.408,1
749,Germana Salvini,PZZSTN76T14I300D,50,Printmaker,6,162,62,0,0,24.3,0.178,1
750,Gloria Florio,SLVNDD42A03A397E,22,Clinical psychologist,4,136,70,0,0,31.2,1.182,1
751,Barbara Russo,MNTVTR01D28E558M,28,Consulting civil engineer,1,121,78,39,74,39.0,0.261,0
752,Morena Gianvecchio-Gualtieri,PPECRL97S47B166B,25,Secondary school teacher,3,108,62,24,0,26.0,0.223,0
753,Sophia Rubbia,RTSMLE86P47A332T,26,"Pharmacist, community",0,181,88,44,510,43.3,0.222,1
754,Michela Mazzeo-Benussi,GRGRSO21S26L279N,45,"Surveyor, hydrographic",8,154,78,32,0,32.4,0.443,1
755,Sig.ra Maria Murri,CRBGRC29A57I853K,37,Museum/gallery exhibitions officer,1,128,88,39,110,36.5,1.057,1
756,Flavia Vivaldi,CHDMRA27D08F598T,39,Equities trader,7,137,90,41,0,32.0,0.391,0
757,Tonia Bruno,BLLBLS09T44L180R,52,IT trainer,0,123,72,0,0,36.3,0.258,1
758,Melania Ferrata,BLSPMN76H55L335F,26,Company secretary,1,106,76,0,0,37.5,0.197,0
759,Annalisa Agostini,SCRNNN81P48A842M,66,"Scientist, physiological",6,190,92,0,0,35.5,0.278,1
760,Michela Trebbi,RGNLSS74R45B101S,22,Science writer,2,88,58,26,16,28.4,0.766,0
761,Ludovica Manolesso,SLLMRC82A53F970N,43,Media buyer,9,170,74,31,0,44.0,0.403,1
762,Donatella Filogamo,NGNMLA31R09B980A,33,Printmaker,9,89,62,0,0,22.5,0.142,0
763,Giulia Gulotta-Trupiano,SMTLSU56E19D740A,63,Herbalist,10,101,76,48,180,32.9,0.171,0
764,Dott. Margherita Grifeo,STRFRC60B44D566P,27,Mental health nurse,2,122,70,27,0,36.8,0.34,0
765,Giuseppina Riccardi-Caccianemico,DSULCI13H18B044Q,30,Museum/gallery exhibitions officer,5,121,72,23,112,26.2,0.245,0
766,Sig.ra Stefani Toscani,GRTGLN96H08E473D,47,"Production assistant, television",1,126,60,0,0,30.1,0.349,1
767,Sig.ra Paola Salieri,GNNPTZ65M54M404C,23,Mudlogger,1,93,70,31,0,30.4,0.315,0
